,champion,role,winRate,playPercent,banRate,experience,kills,death,assist,largestKillingSpree,totalDamageDealtToChampions,totalDamageTaken,totalHeal,minionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,goldEarned,overallPosition
159,Teemo,Support,0.5057,0.0182,0.0098,14.37,5.45,7.38,9.37,8,24427,18830,1917,43.2,1.23,1.7,11100,10
160,Teemo,Top,0.5437,0.07629999999999999,0.0098,6.17,5.94,6.31,5.69,10,25779,21132,3219,177.8,2.4,3.04,11877,3
161,Thresh,Support,0.4955,0.1751,0.01,10.62,2.49,5.94,14.71,7,8531,20966,2921,30.4,0.12,0.13,9095,8
162,Tristana,ADC,0.5146999999999999,0.1452,0.0159,4.76,8.14,6.0,6.46,12,20631,19306,3287,189.4,2.6,8.56,12967,4
163,Trundle,Jungle,0.49670000000000003,0.0063,0.0006,5.75,5.52,5.33,8.01,7,13027,34758,15570,48.7,7.12,64.67,11067,34
164,Trundle,Top,0.49560000000000004,0.0209,0.0006,3.9,4.51,5.36,6.26,6,15017,32761,10198,169.8,2.13,3.06,11138,39
165,Tryndamere,Jungle,0.5044,0.0062,0.0019,13.07,6.21,5.79,5.51,10,14658,34219,13999,70.6,11.14,72.15,12106,26
166,Tryndamere,Top,0.49450000000000005,0.0259,0.0019,6.62,5.62,6.13,4.15,9,16374,30922,7978,191.4,6.19,7.04,12245,35
167,TwistedFate,Middle,0.5139,0.0621,0.002,6.17,5.85,6.4,8.2,10,18594,20282,2824,156.7,1.47,6.89,11856,29
168,Twitch,ADC,0.5328,0.0873,0.0226,6.58,9.25,6.65,7.34,12,22868,19385,3018,180.1,2.59,8.81,13149,2
169,Twitch,Jungle,0.4875,0.022799999999999997,0.0226,9.92,8.91,7.32,7.08,12,19580,23362,6389,58.1,6.7,65.86,12206,21
170,Udyr,Jungle,0.526,0.0508,0.0043,3.74,6.53,5.71,5.97,9,13468,28889,9527,49.1,11.57,74.5,11734,16
