,champion,role,winRate,playPercent,banRate,experience,kills,death,assist,largestKillingSpree,totalDamageDealtToChampions,totalDamageTaken,totalHeal,minionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,goldEarned,overallPosition
96,Malphite,Top,0.5387,0.0246,0.001,4.25,4.98,4.77,8.04,7,17397,21918,2012,160.7,1.15,2.26,11032,25
97,Malzahar,Middle,0.5534,0.0643,0.022000000000000002,7.51,5.78,5.78,7.48,9,20959,16316,1239,184.8,1.93,7.68,11856,2
98,Maokai,Jungle,0.5364,0.011699999999999999,0.0034999999999999996,5.76,4.0,4.99,11.18,6,13797,35847,15255,41.5,4.94,58.75,10354,19
99,Maokai,Top,0.5495,0.038900000000000004,0.0034999999999999996,4.52,3.8,4.66,9.16,7,16920,33757,12201,154.2,0.82,1.35,10505,5
100,MasterYi,Jungle,0.4959,0.0799,0.009399999999999999,5.77,8.43,6.93,4.67,11,16972,27990,8641,60.8,8.95,75.47,12337,20
101,MissFortune,ADC,0.5357999999999999,0.0616,0.0013,6.14,8.1,6.33,7.85,11,23113,18927,2908,183.3,1.59,5.32,12755,6
102,MissFortune,Support,0.4461,0.014499999999999999,0.0013,6.3,4.06,6.75,10.94,7,18904,17284,1388,47.8,0.43,0.94,10651,29
103,Mordekaiser,Middle,0.4854,0.0018,0.0004,13.74,5.84,6.82,6.17,7,19407,18161,10296,158.9,2.32,5.27,11062,47
104,Mordekaiser,Top,0.4939,0.0102,0.0004,6.14,5.21,6.58,5.46,10,19827,18414,10640,171.7,2.13,3.52,11232,53
105,Morgana,Middle,0.5286,0.0116,0.0054,8.04,5.26,5.03,9.49,8,19202,19861,1561,158.2,1.04,4.65,11154,26
106,Morgana,Support,0.4836,0.051,0.0054,5.62,3.02,6.16,14.19,8,13307,18306,2127,29.1,0.3,0.49,10184,18
107,Nami,Support,0.5347999999999999,0.0984,0.001,8.85,2.23,5.26,15.82,7,9594,15881,12094,13.9,0.11,0.14,9669,6
108,Nasus,Top,0.5049,0.0713,0.0077,3.98,5.08,5.53,5.2,8,17493,31825,1005,183.4,1.72,3.17,11496,6
109,Nautilus,Jungle,0.47100000000000003,0.003,0.0003,7.56,3.76,5.28,10.33,6,11384,25610,5567,42.4,3.48,54.48,9973,47
110,Nautilus,Support,0.5045000000000001,0.013999999999999999,0.0003,6.62,2.46,5.86,13.13,6,9952,21713,3949,46.7,0.18,0.4,9389,28
111,Nautilus,Top,0.5065,0.0062,0.0003,5.48,3.68,5.11,8.76,9,14432,23625,2019,152.4,0.64,1.51,10341,50
112,Nidalee,Jungle,0.4921,0.0446,0.0016,5.31,7.31,5.95,7.41,11,16598,26844,13985,37.4,11.06,73.41,11354,24
113,Nocturne,Jungle,0.507,0.028900000000000002,0.0008,4.84,7.93,6.06,6.49,12,16274,27938,10066,51.6,8.08,77.57,12069,23
114,Nunu,Jungle,0.4447,0.006500000000000001,0.0002,4.31,3.3,5.46,10.11,7,9395,34652,13428,39.5,8.99,59.98,10083,46
115,Nunu,Support,0.39149999999999996,0.0018,0.0002,7.14,2.69,7.36,12.37,5,9915,23639,4842,38.0,0.89,3.09,9438,32
116,Nunu,Top,0.3935,0.0015,0.0002,5.44,4.34,6.8,7.02,5,15682,27592,8014,136.1,1.69,3.38,10196,55
