,winRate,goldEarned,kda
0,0.50382,85.1,-0.304
1,0.51866,79.3,-0.322
2,0.51354,100.3,-0.258
3,0.53086,76.2,0.316
4,0.49546,54.2,-0.162
5,0.51254,52.6,-0.414
6,0.51406,81.5,-0.528
7,0.5015,72.9,-0.29
8,0.5036,69.2,0.402
9,0.51436,99.8,0.15
10,0.52616,64.8,-0.382
11,0.51216,50.2,-0.356
12,0.50636,67.4,-0.092
13,0.4934,64.5,-0.9
14,0.51418,87.4,-0.428
15,0.51514,62.9,-0.08
16,0.52398,68.1,-0.162
17,0.5321,79.9,-0.1
18,0.4926,60.9,-0.796
19,0.51472,45.0,-0.44
20,0.49412,63.2,-0.89
21,0.50022,81.3,-0.828
22,0.49738,57.0,-0.312
23,0.50764,59.0,-0.706
24,0.50264,75.6,-0.464
25,0.48808,62.9,-0.846
26,0.51296,75.3,-0.378
27,0.51974,69.1,-0.382
28,0.5251,73.5,-0.218
